phone_number,account_length,intl_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churned
382-4657,0.5247933884297521,0.0,1.0,0.4807692307692308,0.7541963015647227,0.6666666666666666,0.7541834002677377,0.5427550178718724,0.5823529411764706,0.5428663862827564,0.619493670886076,0.52,0.6195835678109173,0.5,0.15000000000000002,0.5,0.1111111111111111,0.0
371-7191,0.4380165289256199,0.0,1.0,0.5,0.4597439544807966,0.7454545454545455,0.45967202141900937,0.5375309320868848,0.6058823529411764,0.5376900679391783,0.6440506329113924,0.5885714285714285,0.6443444006752954,0.685,0.15000000000000002,0.6851851851851852,0.1111111111111111,0.0
358-1921,0.5619834710743802,0.0,0.0,0.0,0.6924608819345662,0.6909090909090909,0.6924364123159304,0.33324168270552657,0.6470588235294118,0.33322549336784213,0.41164556962025317,0.5942857142857143,0.4119302194710186,0.61,0.25,0.6092592592592593,0.0,0.0
375-9999,0.34297520661157027,1.0,0.0,0.0,0.851778093883357,0.4303030303030303,0.8517402945113788,0.1701952158372285,0.5176470588235293,0.17017146554513102,0.49848101265822786,0.5085714285714286,0.4985931344963421,0.33,0.35000000000000003,0.3296296296296296,0.2222222222222222,0.0
330-6626,0.3057851239669422,1.0,0.0,0.0,0.47425320056899,0.6848484848484848,0.4742302543507363,0.4077536431124554,0.7176470588235294,0.40795858945325136,0.47316455696202536,0.6914285714285714,0.47326955543050087,0.505,0.15000000000000002,0.5055555555555555,0.3333333333333333,0.0
391-8027,0.48347107438016534,1.0,0.0,0.0,0.6355618776671409,0.593939393939394,0.6355421686746987,0.6065438548254055,0.5941176470588235,0.6065998058880622,0.5162025316455696,0.6742857142857143,0.5166010129431626,0.315,0.30000000000000004,0.31481481481481477,0.0,0.0
355-9993,0.49586776859504134,0.0,1.0,0.46153846153846156,0.6207681365576102,0.5333333333333333,0.6206492637215529,0.9582073137200989,0.6352941176470588,0.9582659333549014,0.5382278481012658,0.6742857142857143,0.5385481148002251,0.375,0.35000000000000003,0.3759259259259259,0.3333333333333333,0.0
329-9001,0.6033057851239669,1.0,0.0,0.0,0.4466571834992888,0.47878787878787876,0.446619812583668,0.2834753918064339,0.5529411764705883,0.2834034293109026,0.5362025316455696,0.5485714285714286,0.5362971299943725,0.355,0.30000000000000004,0.3555555555555555,0.0,0.0
335-4719,0.4793388429752066,0.0,0.0,0.0,0.5248933143669986,0.5878787878787879,0.5249330655957162,0.9667308221061315,0.47058823529411764,0.9670009705596895,0.5463291139240507,0.5142857142857142,0.5464265616207091,0.435,0.2,0.4351851851851852,0.1111111111111111,0.0
330-8173,0.578512396694215,1.0,1.0,0.7115384615384616,0.7357041251778095,0.509090909090909,0.7356091030789826,0.6103931811932912,0.6529411764705882,0.6104820446457457,0.8263291139240506,0.5542857142857143,0.8266741699493528,0.5599999999999999,0.25,0.5592592592592592,0.0,0.0
